Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AAL_1d,AAL_2d,AAL_3d,AAL_4d,AAL_5d,AAL_6d,AAL_7d
2013-01-02,84.319834957563,28.796654692005,29.375118725834998,13.69,61.870948245917,10.445002385270316,38.34,2.53,71.83204863403,9.5443192894117,43.68142630122,134.52690724845,48.141266792672006,28.854904275213,75.718288569464,42.16,20.667321085853,59.368254555444004,59.980239605097,100.05,28.4,0.0,83.293341438266,147.66620029146003,18.996477715426,37.625918922035,362.7447583184633,0.0,26.57314378593,257.31,25.792078174438,36.32482263337,36.161720930014,54.84705254245999,34.195154268489,72.687843497859,34.022847486215,57.834214098196,40.209315064573005,37.446413456388,80.314910879157,32.622216936596,73.146992054277,38.71523565205,0.0,70.05,56.082247500949,54.248676072510996,15.253797080123999,75.41536908930719,-0.022889842632326216,0.05364806866954295,0.061516452074406085,0.0844062947067321,0.08226037195994391,0.08297567954220651,0.057224606580829326
2013-01-03,84.221974841026,29.892814402590002,29.132556526789,13.45,61.646972904743,10.507033007019293,37.75,2.49,71.83204863403,9.492259366015,42.755852295269996,133.58915943373998,46.921486221079995,28.958252786227998,75.453724318697,40.95,21.053010737433,58.980468133776,60.277465767658995,98.48,29.17,0.0,84.984727424009,148.85513910218,19.004894409141,38.009856870219004,362.95540857562713,0.0,26.589476388134,258.48,25.685022932974,35.493353159645,36.136867513568,55.080444255407,33.913944118255,70.913175086083,34.121334676307,57.73676061243,40.126104249309,37.272018775349004,79.81040891513699,32.20533490465,73.406651373954,38.090512531300995,0.0,69.77,54.250276513968004,53.946402411651,15.015345833399,76.42414539122016,0.07833089311860357,0.08638360175696272,0.10980966325036798,0.10761346998535344,0.10834553440702481,0.08199121522693324,0.07393850658857429
2013-01-04,84.844721037168,29.713116089379,28.765200258441,13.41,61.987415423327,10.659723768247547,38.13,2.59,72.951792253239,9.717852367401099,42.954189582259,136.7715163794,46.333854704839,29.530114547174,76.46788727997,40.43,21.344629742286,59.672943886755,60.837949388491,97.62,29.31,0.0,84.37147636485,149.70721191652999,19.11431142744,38.576622412776,370.12754828382486,0.0,26.57314378593,259.15,25.685022932974,38.273579212414,36.078876208525,55.649920034996,34.026428178349,70.848808874257,34.148194819059,58.427794420588,40.394227987381,37.708005477946,80.16175849722201,32.075957722322,75.272351670895,37.412995907390005,0.0,70.5,54.581688350809,53.965294515455,15.178248170270006,77.71313733255337,0.007467752885267144,0.02919212491513226,0.027155465037325178,0.02783435166326075,0.0033944331296526056,-0.004073319755614353,-0.028513238289196507
2013-01-07,84.951477527935,29.955708812214,28.823080617662,13.2495,61.718645013918,10.669266940824317,37.94,2.67,72.70406136403301,9.414169480919801,43.596424606796,136.97103719105,46.155784548402,29.316527624411002,76.39733681309801,40.77,21.800872378910004,59.968400208026,61.10969902283399,97.31,28.94,0.0,84.727557625007,152.98670146943002,18.975435981137,38.156118945717004,368.51256297890205,0.0,26.507813377114,268.4592,25.363857208579002,38.559396844007004,35.929755709845,55.883311747943,33.679602326392995,70.766052316195,33.566225059425996,57.807635874805,40.523667033346,37.388281896041995,79.75635513327799,32.119083449765,75.253117647215,37.527381830908,0.0,70.49,54.995953146859996,53.653574802692006,15.010624026533,75.05108875806086,0.02156334231805347,0.01954177897572878,0.02021563342317022,-0.004043126684649744,-0.011455525606481443,-0.03571428571427561,-0.014150943396221957
2013-01-08,84.960373902166,29.964693727873996,28.195764585647,13.21,62.077005559797,10.487946661865763,38.14,2.67,71.51495309584699,9.414169480919801,42.104172638019,136.82139658231,46.689995017713,29.082270999445,76.538437746841,40.14,21.636248747137998,58.878905023339,60.888902444930004,97.49,28.2504,0.0,85.736454528784,153.77932734325,18.971227634279998,38.238391363185,367.7853180434553,0.0,26.24649174185,266.38,25.479147468618002,39.390866317732,35.747497322569,56.20072447755101,33.417139519508,71.051102682853,33.422970964747,56.682491084598,40.468193156504,37.339838929087,79.41401451483699,31.956164034982,75.34928776561401,37.140229474387,0.0,71.08,55.299747330631,53.483545868459,15.296293341917,74.64010582024446,-0.001978891820586975,-0.0013192612137247703,-0.02506596306069379,-0.032321899736154416,-0.056068601583098183,-0.034960422163578524,-0.044854881266488685
2013-01-09,85.76994395715,30.162361872406002,28.35468464709,12.84,62.515997228498,10.440230798981931,38.66,2.63,71.73295627834699,9.4575527504171,42.673404354621,137.81900064052,46.743416064644,29.867719683154,77.570238324831,39.7,21.782058249565,59.202060374729,61.220097311786006,100.31,27.3,0.0,86.507963925789,154.13600898646,19.063811265148,38.604046551932,370.20177742206357,0.0,26.050500515402003,266.35,25.594437728657,39.31291605457,35.755781794718,56.256738488658,33.520249907926996,71.47408064628199,33.503551393003995,56.939413910708,40.468193156504,37.543299390297996,79.882480624283,32.349087329459,75.012692351218,37.043441385257,0.0,72.13,57.122512433255,53.644128750791,15.197135397734,74.35054965951021,0.0006609385327185121,-0.023132848645077437,-0.030403172504957394,-0.05419695968272804,-0.03304692663580668,-0.04296100462656141,-0.04560475875743618
2013-01-10,86.196969920218,30.413939510901,28.438326784692002,12.8,61.969497396033,10.430687626405168,38.62,2.62,71.10867443755002,9.6224091745069,43.41340558620401,138.41756307544,47.518021245143004,30.088196506652004,77.49968785796,39.5,21.622138150129,59.248225424927995,61.07573031854101,102.57,26.89,0.0,87.03219466990801,153.40283005318,19.227936792596,38.923994842085,371.8879825758371,0.0,26.703804603562002,265.34,25.923838471626,39.338899475624,36.078876208525,56.751528920105,33.557744594625,72.338426919374,33.673665630434996,57.586150679882,40.579140910189,37.582053763863,79.107709750968,32.512006744242,74.685713948661,37.492186162133,0.0,72.26,57.297424236032,54.862669446133005,15.322263279679001,75.38734752536517,-0.023778071334217436,-0.031043593130781737,-0.054821664464973885,-0.03368560105678898,-0.04359313077938599,-0.0462351387054187,-0.019154557463660196
2013-01-11,85.65429109215201,30.108452378442998,28.647432128698,12.25,62.605587364968,10.993734808434356,38.09,2.67,71.633863922665,9.6397624823059,43.195200094840004,139.31540672782,47.126266900983,29.922838889029002,77.93180946754599,39.59,22.031345463390004,59.063565224132994,61.381448657177,100.39,25.87,0.0,82.798784132493,154.09637769277,19.253186873742003,39.271367271395,371.1406757111368,0.0,26.891629528909,267.94,25.907368434477,38.403496317683,35.822057571909,57.171634003409004,33.02344530918,72.43957382367198,34.336215818325,57.64816653446101,40.532912679487,37.562676577081,78.34194784129501,32.761177613911,74.85882016177901,37.184224060355,0.0,72.83,56.846335902555,54.550949733371,15.246714369825002,75.25658022696905,-0.007442489851149114,-0.031799729363982024,-0.010148849797004986,-0.02029769959403606,-0.023004059539918017,0.004736129905293428,0.019621109607591655
2013-01-14,86.36600103059902,30.099429767601,28.850545384558,12.32,62.587669337674,10.974648463280824,38.16,2.64,71.921231754144,9.5703492511101,43.432379976758,139.47502337713001,47.144073916626,29.998627797106,77.596694749908,39.995,21.838500637600998,59.672943886755,61.474862593982,99.35,26.64,0.0,83.184538830996,154.78001750893998,19.278436954888,39.243943132238996,362.7447583184633,0.0,26.940627335521,272.73,25.915603453052,38.11767868609,35.822057571909,57.143626997854994,32.854719219039005,72.36601243872798,33.960173819793,57.85193291378899,40.948966755805,37.397970489433,78.305911986723,32.670134411532004,74.887671197299,37.166626225967995,0.0,72.96,57.481541923166,54.182553709198,15.593767174465,75.03240771543284,-0.024539877300591,-0.0027266530333844396,-0.012951601908648181,-0.015678254942058906,0.012269938650321785,0.027266530334027823,0.0
2013-01-15,86.55282488944202,29.792660998986,29.282161053262,12.17,62.93707086990501,11.041450671318186,38.15,2.68,72.971610724375,9.5443192894117,43.688534249229,140.33296286718002,47.215301979201,29.791930775077,77.3409493075,39.66,21.965496010682006,60.106895358622,61.738120052252,98.22,26.34,0.0,84.322020634273,153.71988040271003,19.278436954888,39.225660372801,363.5873593471187,0.0,26.769135012378,271.9,26.096773861684,37.18227552815,35.755781794718,56.723521914551,32.657872113875,72.936113172045,33.870640010619,57.479837786318996,41.670127154755,37.330150335695,76.648262676373,32.751594118924,75.10886246961701,36.973050047708,0.0,73.06,58.006277331497,54.352582643431994,15.544188202374,75.09779136463091,0.022361984626129483,0.011879804332620354,0.009084556254344015,0.03773584905659526,0.05310971348706084,0.025157232704378876,0.04612159329139713
